Transactions
baby diaper,biscuit,cake,coke,meat,noodle,salt
apple,biscuit,bread,chicken,egg,orange juice,sugar
biscuit,chicken,egg,fish,grape,paprika,salt
biscuit,bread,broccoli,meat,milk,noodle,shampoo
coke,meat,milk,noodle,orange juice
baby diaper,bread,chicken,coke,paprika,soap,sugar
baby diaper,fish,milk,noodle,paprika,soap,sugar
biscuit,coke,egg,fish,milk,paprika,shampoo
apple,broccoli,chicken,coke,salt,sugar
bread,cake,fish,milk,orange juice,paprika
baby diaper,egg,grape,noodle,paprika,soap,sugar
apple,cake,egg,fish,meat,noodle,soap
baby diaper,broccoli,cake,chicken,meat,orange juice,salt
biscuit,coke,egg,meat,noodle,shampoo,soap
apple,bread,broccoli,noodle,orange juice,salt,sugar
broccoli,coke,fish,grape,paprika,salt
biscuit,broccoli,coke,grape,milk,noodle,sugar
baby diaper,biscuit,broccoli,coke,orange juice,shampoo,soap
apple,bread,coke,meat,milk,noodle,paprika
baby diaper,chicken,coke,fish,grape
baby diaper,bread,chicken,egg,fish,orange juice,shampoo
biscuit,broccoli,cake,coke,noodle,orange juice
bread,broccoli,egg,milk,noodle,orange juice,soap
broccoli,cake,coke,fish,milk,noodle,salt
baby diaper,cake,egg,fish,grape,noodle,soap
baby diaper,biscuit,broccoli,cake,coke,egg,sugar
baby diaper,coke,egg,fish,milk,orange juice,salt
apple,bread,egg,fish,meat,soap,sugar
bread,broccoli,coke,noodle,shampoo,sugar
biscuit,chicken,coke,fish,noodle,orange juice,paprika
baby diaper,chicken,milk,orange juice,paprika,shampoo,soap
baby diaper,cake,fish,meat,milk,salt
baby diaper,bread,cake,chicken,grape,soap
bread,broccoli,fish,grape,milk,shampoo,sugar
baby diaper,coke,noodle,orange juice,salt
apple,baby diaper,bread,coke,meat,noodle,paprika
baby diaper,bread,fish,grape,meat,salt,sugar
apple,broccoli,cake,coke,grape,noodle,salt
apple,biscuit,bread,cake,egg,fish,noodle
apple,broccoli,fish,meat,noodle,paprika,shampoo
bread,coke,fish,milk,orange juice,salt,sugar
biscuit,fish,meat,milk,salt,shampoo
apple,baby diaper,broccoli,cake,chicken,noodle,soap
bread,coke,milk,noodle,paprika,shampoo,sugar
apple,baby diaper,cake,fish,paprika,salt,shampoo
biscuit,bread,fish,grape,meat,noodle,paprika
apple,baby diaper,broccoli,coke,milk,noodle,soap
baby diaper,biscuit,broccoli,chicken,milk,soap,sugar
apple,baby diaper,chicken,meat,noodle,orange juice,soap
bread,meat,orange juice,salt,sugar
apple,baby diaper,coke,fish,grape,meat,noodle
biscuit,bread,cake,grape,milk,soap,sugar
baby diaper,bread,fish,orange juice,paprika
broccoli,cake,coke,milk,sugar
baby diaper,coke,egg,fish,grape,orange juice,paprika
baby diaper,biscuit,coke,egg,orange juice,paprika,salt
apple,broccoli,coke,grape,milk,noodle,salt
biscuit,bread,broccoli,chicken,coke,salt,shampoo
biscuit,coke,egg,fish,milk,orange juice
biscuit,bread,chicken,coke,fish,shampoo,soap
apple,baby diaper,coke,grape,noodle,paprika,soap
apple,baby diaper,chicken,grape,meat,sugar
biscuit,bread,broccoli,chicken,fish,meat,milk
bread,cake,coke,salt,soap,sugar
baby diaper,broccoli,chicken,egg,fish,milk,orange juice
broccoli,cake,chicken,egg,meat,orange juice,salt
apple,bread,coke,egg,meat,milk,orange juice
coke,fish,grape,salt,shampoo,soap
broccoli,cake,egg,meat
biscuit,cake,chicken,noodle,orange juice
apple,baby diaper,biscuit,broccoli,egg,grape,meat
apple,chicken,coke,egg,grape,orange juice,sugar
baby diaper,biscuit,bread,chicken,milk,shampoo,sugar
biscuit,broccoli,coke,noodle,salt,sugar
meat,milk,orange juice,paprika
baby diaper,cake,milk,noodle,orange juice,sugar
apple,baby diaper,broccoli,chicken,meat,milk,paprika
apple,bread,grape,paprika,salt,shampoo
apple,broccoli,coke,egg,meat,salt,shampoo
apple,cake,chicken,grape,salt,shampoo,soap
baby diaper,cake,coke,grape,milk,orange juice
bread,broccoli,cake,egg,grape,noodle,paprika
bread,fish,grape,milk,soap
bread,fish,grape,noodle,orange juice
baby diaper,bread,broccoli,cake,grape,milk,orange juice
apple,broccoli,coke,egg,grape,meat,orange juice
apple,biscuit,grape,milk,noodle,paprika,shampoo
apple,chicken,milk,shampoo,soap
baby diaper,broccoli,chicken,noodle,orange juice,shampoo,soap
baby diaper,coke,fish,grape,meat,shampoo
apple,baby diaper,cake,chicken,grape,meat,paprika
cake,fish,noodle,orange juice,paprika,salt
cake,chicken,grape,noodle
baby diaper,bread,chicken,orange juice,soap,sugar
apple,baby diaper,bread,broccoli,meat,milk,orange juice
baby diaper,chicken,coke,meat,milk,paprika,soap
baby diaper,broccoli,coke,milk,orange juice,salt,soap
biscuit,egg,meat,paprika,soap
baby diaper,broccoli,egg,fish,grape,milk
baby diaper,chicken,egg,grape,meat,milk,sugar
apple,bread,broccoli,cake,fish,meat,shampoo
bread,egg,grape,meat,orange juice,paprika,soap
milk,paprika,salt,soap,sugar
baby diaper,bread,coke,meat,shampoo,sugar
apple,baby diaper,bread,cake,fish,shampoo,sugar
apple,bread,cake,fish,milk,noodle
bread,coke,egg,fish,grape,salt,shampoo
baby diaper,broccoli,coke,grape,salt,shampoo,sugar
apple,cake,fish,meat,milk,orange juice
baby diaper,cake,fish,meat,milk,paprika,sugar
apple,biscuit,chicken,milk,orange juice,shampoo,sugar
apple,biscuit,bread,chicken,orange juice,soap
apple,baby diaper,broccoli,orange juice,shampoo,sugar
baby diaper,broccoli,egg,grape,meat,milk,sugar
apple,baby diaper,bread,fish,shampoo
apple,chicken,paprika,salt,shampoo,soap
apple,biscuit,broccoli,cake,egg,meat,sugar
baby diaper,broccoli,coke,meat,orange juice,salt,sugar
baby diaper,broccoli,chicken,coke,meat,shampoo,sugar
apple,cake,fish,milk,sugar
biscuit,broccoli,chicken,milk,noodle,orange juice,soap
coke,meat,noodle,shampoo,soap,sugar
baby diaper,biscuit,bread,cake,coke,milk,salt
baby diaper,biscuit,egg,fish,meat,orange juice,shampoo
bread,coke,egg,grape,meat,milk,soap
baby diaper,biscuit,broccoli,chicken,meat,noodle,soap
baby diaper,biscuit,bread,broccoli,egg,paprika,sugar
apple,biscuit,coke,grape,orange juice,paprika,salt
apple,cake,chicken,fish,grape,noodle,salt
apple,chicken,fish,milk,salt,shampoo,sugar
apple,broccoli,milk,orange juice,shampoo,soap,sugar
apple,biscuit,cake,meat,noodle,orange juice,salt
broccoli,fish,noodle,paprika,soap,sugar
biscuit,bread,broccoli,egg,fish,meat,sugar
biscuit,cake,egg,meat,orange juice
apple,baby diaper,meat,salt,shampoo,soap
baby diaper,meat,orange juice,paprika,salt,shampoo,sugar
bread,cake,egg,meat,noodle,paprika,shampoo
baby diaper,bread,cake,fish,noodle,paprika,sugar
apple,baby diaper,biscuit,bread,meat,paprika,salt
egg,milk,noodle,orange juice,paprika,sugar
apple,cake,fish,milk,noodle,orange juice,paprika
apple,egg,noodle,orange juice,paprika,sugar
biscuit,coke,egg,fish,grape,noodle,paprika
apple,biscuit,bread,broccoli,cake,chicken,coke
baby diaper,bread,broccoli,chicken,orange juice,paprika,shampoo
apple,baby diaper,chicken,grape,paprika,sugar
apple,bread,cake,coke,egg,fish,milk
apple,fish,milk,noodle,paprika,salt
baby diaper,bread,cake,coke,orange juice,paprika,salt
apple,broccoli,coke,grape,noodle
biscuit,broccoli,egg,meat,orange juice,salt
apple,baby diaper,biscuit,bread,egg,shampoo,soap
apple,baby diaper,bread,egg,sugar
apple,bread,cake,chicken,fish,milk,soap
baby diaper,fish,grape,milk,salt,shampoo,soap
apple,cake,egg,milk,orange juice,paprika,shampoo
apple,cake,fish,meat,noodle,salt,soap
broccoli,cake,chicken,egg,meat,paprika,sugar
baby diaper,biscuit,chicken,egg,meat,shampoo
cake,chicken,fish,grape,noodle,paprika
bread,broccoli,chicken,grape,paprika,salt,soap
biscuit,broccoli,chicken,egg,grape,noodle,orange juice
apple,broccoli,grape,orange juice,salt,shampoo,soap
bread,broccoli,egg,noodle,orange juice,paprika,sugar
coke,milk,orange juice,paprika,salt,sugar
broccoli,coke,egg,noodle,soap
baby diaper,biscuit,broccoli,egg,meat,noodle,salt
apple,cake,fish,meat,noodle,salt,soap
orange juice,paprika,shampoo
baby diaper,biscuit,broccoli,chicken,coke,noodle,orange juice
baby diaper,coke,egg,fish,grape,milk,shampoo
apple,baby diaper,bread,broccoli,fish,meat,orange juice
baby diaper,biscuit,fish,grape,milk,paprika,salt
apple,baby diaper,broccoli,grape,milk,noodle,salt
chicken,fish,grape,shampoo,soap
baby diaper,coke,shampoo
broccoli,chicken,egg,fish,milk,noodle
broccoli,chicken,egg,noodle,orange juice,paprika,soap
baby diaper,biscuit,meat,milk
bread,cake,egg,grape,noodle,orange juice,salt
apple,biscuit,egg,fish,grape,soap
biscuit,chicken,milk,orange juice,soap,sugar
apple,grape,milk,orange juice,paprika,shampoo,soap
apple,bread,meat,noodle,salt,soap,sugar
apple,biscuit,bread,coke,noodle,salt,sugar
baby diaper,biscuit,chicken,coke,noodle,orange juice,shampoo
apple,biscuit,broccoli,coke,fish,salt,shampoo
baby diaper,bread,egg,meat,noodle,sugar
biscuit,broccoli,cake,fish,grape,milk
apple,bread,broccoli,coke,egg,orange juice,sugar
apple,baby diaper,grape,meat,milk,paprika,salt
baby diaper,cake,meat,milk,orange juice,paprika,salt
cake,grape,noodle,orange juice,paprika,soap
apple,baby diaper,broccoli,fish,grape,orange juice,salt
bread,cake,noodle,orange juice,salt,shampoo,sugar
biscuit,bread,chicken,meat,paprika,shampoo,sugar
apple,biscuit,fish,grape,noodle,salt,soap
apple,broccoli,egg,grape,milk,noodle,orange juice
bread,broccoli,egg,noodle,salt
baby diaper,coke,egg,noodle,salt,soap
cake,grape,meat,salt,shampoo,soap
bread,broccoli,chicken,meat,shampoo,sugar
baby diaper,chicken,coke,egg,fish,orange juice,shampoo
broccoli,coke,milk,orange juice,shampoo,sugar
apple,baby diaper,broccoli,cake,coke,fish,paprika
baby diaper,broccoli,cake,fish,orange juice,soap,sugar
biscuit,chicken,fish,meat,salt
baby diaper,biscuit,cake,coke,meat,salt,soap
baby diaper,bread,cake,orange juice,paprika,soap
biscuit,cake,fish,milk,paprika,salt,soap
apple,cake,meat,orange juice,salt,shampoo
bread,broccoli,coke,fish,noodle,salt
apple,coke,milk,orange juice,paprika
baby diaper,grape,noodle,paprika,salt,soap,sugar
biscuit,bread,broccoli,cake,orange juice,salt,shampoo
biscuit,cake,chicken,coke,egg,milk,shampoo
apple,baby diaper,bread,chicken,egg,milk,soap
baby diaper,cake,coke,fish,orange juice,paprika,sugar
baby diaper,bread,broccoli,chicken,coke,fish,orange juice
broccoli,cake,chicken,meat,orange juice,salt
baby diaper,biscuit,chicken,coke,grape,salt,soap
apple,baby diaper,milk,shampoo
apple,broccoli,egg,meat,noodle,paprika,sugar
apple,biscuit,chicken,coke,grape,meat,soap
baby diaper,coke,fish,noodle,orange juice,paprika
baby diaper,broccoli,cake,milk,orange juice,paprika
fish,grape,orange juice,salt,shampoo,soap
baby diaper,cake,coke,grape,orange juice,shampoo
apple,biscuit,fish,orange juice,paprika,salt
biscuit,egg,fish,grape,meat,noodle,shampoo
bread,cake,coke,egg,salt,soap,sugar
biscuit,bread,egg,noodle,orange juice,shampoo,sugar
baby diaper,bread,broccoli,egg,grape,meat,soap
biscuit,cake,chicken,egg,milk,paprika,soap
baby diaper,bread,cake,fish,grape,salt
biscuit,egg,fish,grape,meat,salt,soap
apple,baby diaper,biscuit,cake,salt,shampoo
chicken,coke,noodle,soap
bread,coke,egg,fish,paprika,soap,sugar
apple,baby diaper,chicken,grape,meat,noodle,shampoo
apple,biscuit,cake,egg,meat,paprika
biscuit,bread,cake,milk,noodle,orange juice,paprika
egg,fish,meat,noodle,sugar
biscuit,broccoli,meat,milk,paprika,salt,soap
apple,broccoli,cake,coke,fish,noodle,soap
noodle,salt
biscuit,bread,cake,chicken,noodle,paprika
baby diaper,cake,chicken,egg,meat,sugar
apple,biscuit,fish,orange juice,paprika,salt,soap
broccoli,cake,chicken,coke,milk,paprika
apple,biscuit,chicken,coke,salt,soap
bread,coke,egg,fish,noodle,orange juice,shampoo
baby diaper,egg,fish,grape,orange juice,paprika,shampoo
broccoli,fish,grape,noodle,salt,shampoo
baby diaper,coke,meat,milk,paprika
biscuit,broccoli,cake,coke,egg,paprika,soap
biscuit,bread,coke,meat,orange juice,salt
baby diaper,cake,chicken,coke,grape,noodle,orange juice
apple,bread,salt,shampoo
apple,egg,fish,noodle,orange juice,paprika
biscuit,egg,grape,meat,orange juice,salt,sugar
chicken,coke,grape,milk,soap,sugar
biscuit,bread,broccoli,egg,grape,meat,paprika
apple,coke,paprika,salt,soap
baby diaper,bread,chicken,meat,orange juice,salt,sugar
baby diaper,cake,coke,meat,milk,paprika,shampoo
biscuit,egg,meat,milk,shampoo,soap,sugar
apple,chicken,coke,egg,grape,milk
bread,cake,coke,egg,noodle,paprika,shampoo
biscuit,broccoli,egg,meat,milk,orange juice,soap
apple,biscuit,bread,fish,shampoo,sugar
baby diaper,biscuit,bread,egg,grape,meat,orange juice
bread,milk,noodle,paprika,salt
biscuit,broccoli,egg,grape,sugar
cake,coke,milk,paprika,soap
baby diaper,bread,broccoli,grape,meat,noodle,sugar
apple,egg,grape,milk,sugar
apple,biscuit,cake,meat,noodle,paprika,shampoo
baby diaper,bread,broccoli,meat,noodle,salt,soap
biscuit,broccoli,egg,fish,milk,orange juice
apple,biscuit,bread,grape,meat,paprika,shampoo
fish,meat,noodle,paprika,soap,sugar
apple,baby diaper,bread,noodle,shampoo,sugar
baby diaper,biscuit,grape,milk,noodle,paprika,salt
apple,baby diaper,bread,broccoli,meat,orange juice
apple,baby diaper,coke,egg,milk
broccoli,cake,coke,meat,milk,salt,shampoo
bread,coke,grape,meat,milk,noodle
bread,cake,noodle,paprika,salt,soap
baby diaper,broccoli,coke,meat,milk,noodle,sugar
apple,meat,milk,salt,soap,sugar
baby diaper,cake,chicken,grape,shampoo,sugar
biscuit,broccoli,coke,grape,milk
broccoli,chicken,milk,noodle,paprika,salt,sugar
baby diaper,bread,broccoli,coke,meat,orange juice,shampoo
biscuit,broccoli,meat,orange juice,paprika,soap,sugar
bread,egg,fish,noodle,paprika,shampoo,sugar
baby diaper,broccoli,coke,meat,milk,orange juice,salt
